step,time,reward,seed
2600.0,56.2054251988213,0.0,0.0
20000.0,432.34942460631765,0.0,0.0
40000.0,864.6988492126353,0.0,0.0
60000.0,1297.048273818953,0.0,0.0
80000.0,1729.3976984252706,0.0,0.0
100000.0,2161.747123031588,0.0,0.0
120000.0,2594.096547637906,1.0,0.0
140000.0,3026.445972244224,0.0,0.0
160000.0,3458.7953968505412,0.0,0.0
180000.0,3891.144821456859,3.0,0.0
200000.0,4323.494246063176,3.0,0.0
220000.0,4755.843670669494,3.0,0.0
240000.0,5188.193095275812,0.0,0.0
260000.0,5620.54251988213,0.0,0.0
280000.0,6052.891944488448,32.0,0.0
300000.0,6485.241369094765,0.0,0.0
320000.0,6917.5907937010825,36.0,0.0
340000.0,7349.940218307401,60.0,0.0
360000.0,7782.289642913718,0.0,0.0
380000.0,8214.639067520036,87.0,0.0
400000.0,8646.988492126353,215.0,0.0
420000.0,9079.337916732671,0.0,0.0
440000.0,9511.687341338988,161.0,0.0
460000.0,9944.036765945306,0.0,0.0
480000.0,10376.386190551624,0.0,0.0
2600.0,56.2054251988213,0.0,1.0
20000.0,432.34942460631765,0.0,1.0
40000.0,864.6988492126353,0.0,1.0
60000.0,1297.048273818953,0.0,1.0
80000.0,1729.3976984252706,3.0,1.0
100000.0,2161.747123031588,15.0,1.0
120000.0,2594.096547637906,0.0,1.0
140000.0,3026.445972244224,55.0,1.0
160000.0,3458.7953968505412,0.0,1.0
180000.0,3891.144821456859,39.0,1.0
200000.0,4323.494246063176,38.0,1.0
220000.0,4755.843670669494,39.0,1.0
240000.0,5188.193095275812,0.0,1.0
260000.0,5620.54251988213,28.0,1.0
280000.0,6052.891944488448,0.0,1.0
300000.0,6485.241369094765,54.0,1.0
320000.0,6917.5907937010825,15.0,1.0
340000.0,7349.940218307401,90.0,1.0
360000.0,7782.289642913718,64.0,1.0
380000.0,8214.639067520036,73.0,1.0
400000.0,8646.988492126353,112.0,1.0
420000.0,9079.337916732671,105.0,1.0
440000.0,9511.687341338988,98.0,1.0
460000.0,9944.036765945306,90.0,1.0
480000.0,10376.386190551624,116.0,1.0
2600.0,56.2054251988213,0.0,2.0
20000.0,432.34942460631765,0.0,2.0
40000.0,864.6988492126353,0.0,2.0
60000.0,1297.048273818953,0.0,2.0
80000.0,1729.3976984252706,0.0,2.0
100000.0,2161.747123031588,0.0,2.0
120000.0,2594.096547637906,0.0,2.0
140000.0,3026.445972244224,0.0,2.0
160000.0,3458.7953968505412,0.0,2.0
180000.0,3891.144821456859,0.0,2.0
200000.0,4323.494246063176,0.0,2.0
220000.0,4755.843670669494,0.0,2.0
240000.0,5188.193095275812,14.0,2.0
260000.0,5620.54251988213,6.0,2.0
280000.0,6052.891944488448,8.0,2.0
300000.0,6485.241369094765,0.0,2.0
320000.0,6917.5907937010825,3.0,2.0
340000.0,7349.940218307401,0.0,2.0
360000.0,7782.289642913718,0.0,2.0
380000.0,8214.639067520036,20.0,2.0
400000.0,8646.988492126353,0.0,2.0
420000.0,9079.337916732671,0.0,2.0
440000.0,9511.687341338988,0.0,2.0
460000.0,9944.036765945306,0.0,2.0
480000.0,10376.386190551624,0.0,2.0
2600.0,56.2054251988213,0.0,3.0
20000.0,432.34942460631765,0.0,3.0
40000.0,864.6988492126353,0.0,3.0
60000.0,1297.048273818953,0.0,3.0
80000.0,1729.3976984252706,0.0,3.0
100000.0,2161.747123031588,0.0,3.0
120000.0,2594.096547637906,0.0,3.0
140000.0,3026.445972244224,0.0,3.0
160000.0,3458.7953968505412,0.0,3.0
180000.0,3891.144821456859,0.0,3.0
200000.0,4323.494246063176,0.0,3.0
220000.0,4755.843670669494,0.0,3.0
240000.0,5188.193095275812,0.0,3.0
260000.0,5620.54251988213,0.0,3.0
280000.0,6052.891944488448,0.0,3.0
300000.0,6485.241369094765,0.0,3.0
320000.0,6917.5907937010825,0.0,3.0
340000.0,7349.940218307401,0.0,3.0
360000.0,7782.289642913718,0.0,3.0
380000.0,8214.639067520036,3.0,3.0
400000.0,8646.988492126353,11.0,3.0
420000.0,9079.337916732671,0.0,3.0
440000.0,9511.687341338988,27.0,3.0
460000.0,9944.036765945306,0.0,3.0
480000.0,10376.386190551624,0.0,3.0
2600.0,56.2054251988213,0.0,4.0
20000.0,432.34942460631765,0.0,4.0
40000.0,864.6988492126353,0.0,4.0
60000.0,1297.048273818953,17.0,4.0
80000.0,1729.3976984252706,0.0,4.0
100000.0,2161.747123031588,0.0,4.0
120000.0,2594.096547637906,18.0,4.0
140000.0,3026.445972244224,32.0,4.0
160000.0,3458.7953968505412,0.0,4.0
180000.0,3891.144821456859,10.0,4.0
200000.0,4323.494246063176,6.0,4.0
220000.0,4755.843670669494,50.0,4.0
240000.0,5188.193095275812,0.0,4.0
260000.0,5620.54251988213,75.0,4.0
280000.0,6052.891944488448,52.0,4.0
300000.0,6485.241369094765,61.0,4.0
320000.0,6917.5907937010825,54.0,4.0
340000.0,7349.940218307401,79.0,4.0
360000.0,7782.289642913718,115.0,4.0
380000.0,8214.639067520036,0.0,4.0
400000.0,8646.988492126353,135.0,4.0
420000.0,9079.337916732671,169.0,4.0
440000.0,9511.687341338988,80.0,4.0
460000.0,9944.036765945306,172.0,4.0
480000.0,10376.386190551624,180.0,4.0
2600.0,56.2054251988213,0.0,21.0
20000.0,432.34942460631765,0.0,21.0
40000.0,864.6988492126353,0.0,21.0
60000.0,1297.048273818953,0.0,21.0
80000.0,1729.3976984252706,0.0,21.0
100000.0,2161.747123031588,0.0,21.0
120000.0,2594.096547637906,0.0,21.0
