step,time,reward,seed,critic_loss,actor_grad_norm
0.0,5.720706,-312.43829700000003,7,,
5000.0,266.34122,1124.297894,7,2.9900569915771484,2.5731639862060547
10000.0,592.3039,3337.3367,7,28.749372482299805,26.442707061767575
20000.0,1560.0454,5115.65016,7,63.47042846679688,26.18013572692871
30000.0,2666.0803,5623.84756,7,86.49649810791016,30.75079727172852
40000.0,3493.1216,4957.20236,7,127.25575256347656,81.95553588867188
50000.0,4500.6216,6062.81042,7,158.08099365234375,39.8701400756836
60000.0,5433.1797,6405.04721,7,188.9665985107422,40.79588317871094
70000.0,6483.112,6181.30921,7,102.74840545654295,57.82731246948242
80000.0,7503.376000000001,6413.12324,7,98.31159210205078,37.86345672607422
90000.0,8517.545,6666.434880000001,7,219.883544921875,257.9219970703125
100000.0,9371.446,6998.816959999999,7,127.87357330322266,42.71171188354492
110000.0,10237.977,7594.76705,7,174.4939727783203,164.98353576660156
120000.0,11056.7295,8646.7037,7,234.3876800537109,93.01858520507812
130000.0,12023.367,9087.7648,7,221.0379943847656,126.07321166992188
140000.0,12856.905,9314.583999999999,7,222.184814453125,73.8389892578125
150000.0,13730.709999999997,9029.9044,7,739.0504760742188,89.75756072998047
160000.0,14608.547,9718.1579,7,273.3515625,80.44340515136719
170000.0,15456.545999999998,9769.6016,7,711.1209106445312,110.75040435791016
180000.0,16310.203,9501.425299999999,7,281.6649169921875,137.95152282714844
190000.0,17057.389,7132.046700000001,7,346.2207946777344,185.71868896484372
200000.0,17811.055,10227.6696,7,277.33502197265625,329.629638671875
210000.0,18520.494,9370.44565,7,217.2337646484375,58.25942611694336
220000.0,19222.264,8067.923999999999,7,304.1405334472656,151.0894317626953
230000.0,19958.777,9664.46932,7,315.5790710449219,224.4534454345703
240000.0,20639.686,9392.4648,7,238.7646942138672,82.1905746459961
250000.0,21343.584,9782.1231,7,368.0205993652344,86.34899139404297
260000.0,22026.31,10576.2482,7,394.0152893066406,169.8013916015625
270000.0,22708.422,9155.63185,7,337.1517333984375,99.5953598022461
280000.0,23407.72,10910.33745,7,330.77911376953125,107.35374450683594
290000.0,24059.572,8463.11775,7,453.184326171875,104.52751922607422
300000.0,24729.646,8445.127429999999,7,444.5096740722656,103.55663299560548
310000.0,25400.6,8078.33465,7,607.1013793945312,162.1255645751953
320000.0,26056.8,8755.94599,7,418.0911254882813,125.21060180664062
330000.0,26715.164,9890.1404,7,341.13800048828125,268.1307678222656
340000.0,27369.830000000005,8938.5806,7,1101.2623291015625,160.60992431640625
350000.0,28008.22,9427.7023,7,493.8599243164063,173.5349884033203
360000.0,28685.189999999995,8837.3954,7,569.6419067382812,139.2548065185547
370000.0,29345.810000000005,8121.52994,7,383.1750183105469,73.01195526123047
380000.0,29980.159999999996,8417.1083,7,443.0795593261719,78.1417465209961
390000.0,30570.485999999997,8942.41757,7,473.05419921875,99.75149536132812
400000.0,31200.203,8194.756570000001,7,412.5219421386719,96.42538452148438
410000.0,31785.164,10174.9287,7,866.18798828125,115.62245178222656
420000.0,32379.406,9553.2513,7,816.9937744140625,175.2176971435547
430000.0,32964.59,9621.221300000001,7,548.1277465820312,137.7367706298828
440000.0,33550.273,9469.647,7,550.6290283203125,118.25411987304688
450000.0,34143.613,8493.56385,7,507.1380004882813,87.52542114257812
460000.0,34756.332,10514.0664,7,494.3214416503906,159.4208221435547
470000.0,35353.004,10687.3215,7,423.7228698730469,261.504638671875
480000.0,35947.1,8494.37512,7,671.8667602539062,84.66704559326172
490000.0,36530.938,10078.14913,7,846.3292846679688,114.88421630859376
500000.0,37114.94,8063.75502,7,509.990966796875,235.89486694335935
0.0,5.720706,-265.710082,4,,
5000.0,266.34122,513.488453,4,7.759193420410156,3.542620182037353
10000.0,592.3039,846.4521950000001,4,13.788363456726074,13.704245567321776
20000.0,1560.0454,4678.18933,4,30.11679077148437,28.25174903869629
30000.0,2666.0803,5330.13159,4,35.53910446166992,24.830093383789062
40000.0,3493.1216,5918.39316,4,39.6581916809082,42.27507019042969
50000.0,4500.6216,5448.71262,4,58.842567443847656,30.211328506469727
