step,time,reward,seed,critic_loss
0.0,2.4071445,143.8038279,5,
5000.0,260.6941,256.363518,5,483.074951171875
10000.0,578.99615,396.24443,5,4488.32568359375
20000.0,1489.2714,491.127902,5,1808.675048828125
30000.0,2475.968,921.6917559999999,5,1644.348876953125
40000.0,3345.507,4601.5124000000005,5,3167.833984375
50000.0,4398.878,5069.15403,5,1499.84423828125
60000.0,5530.019,1108.451759,5,2118.01220703125
70000.0,6494.6626,2418.962459,5,1921.2890625
80000.0,7492.006299999999,1823.79506,5,592.8621826171875
90000.0,8408.598,6011.53134,5,864.3494262695312
100000.0,9245.491,3438.68293,5,642.9816284179688
110000.0,10288.664,4727.32587,5,414.9319458007813
120000.0,11372.843,2691.353,5,1356.1732177734375
130000.0,12432.504,4428.9282,5,704.1046142578125
140000.0,13482.353,534.8303960000001,5,749.1874389648438
150000.0,14356.117000000002,3927.0554199999997,5,1424.3597412109375
160000.0,15217.238000000001,5923.3351600000005,5,426.599609375
170000.0,16009.543,7928.06667,5,1272.3900146484375
180000.0,16852.137,7930.286870000001,5,502.9818420410156
190000.0,17623.96,8095.994229999999,5,1173.2864990234375
200000.0,18373.625,7882.61499,5,254.28941345214844
210000.0,19083.506,7959.41388,5,794.0526123046875
220000.0,19861.887,3504.622206,5,557.7938842773438
230000.0,20488.479,8187.58536,5,277.7294616699219
240000.0,21190.193,8047.2058099999995,5,931.4928588867188
250000.0,21894.018,7992.58548,5,452.52001953125
260000.0,22548.154,6972.27561,5,564.6661376953125
270000.0,23198.25,3475.9860280000003,5,1062.1365966796875
280000.0,23825.463,8272.015,5,443.2646484375
290000.0,24415.465,2788.60392,5,183.52207946777344
300000.0,25074.535,8370.609699999999,5,796.1060791015625
310000.0,25666.709,977.494102,5,1540.54052734375
320000.0,26261.32,8365.346099999999,5,254.6473693847656
330000.0,26862.055,8535.937600000001,5,431.18365478515625
340000.0,27456.854,8488.81455,5,191.6428985595703
350000.0,28012.189999999995,8760.1305,5,399.4049377441406
360000.0,28558.129999999997,8758.6554,5,389.4734802246094
370000.0,29178.018,8756.497899999998,5,935.4641723632812
380000.0,29724.707000000002,8675.1886,5,965.181640625
390000.0,30245.258,8830.3059,5,103.81266021728516
400000.0,30809.901999999995,8766.96415,5,465.971923828125
410000.0,31341.542999999998,8870.7129,5,281.88433837890625
420000.0,31863.992,1406.86532,5,1974.5142822265625
430000.0,32395.283000000003,8728.1999,5,125.26318359375
440000.0,32946.37,6300.612735000001,5,1087.3837890625
450000.0,33488.04,8834.1024,5,616.9225463867188
460000.0,33987.36,8075.304977,5,137.05914306640625
470000.0,34549.562,8878.06425,5,271.0911560058594
480000.0,35083.14,7911.96574,5,515.632080078125
490000.0,35601.586,6333.51497,5,487.0782775878906
500000.0,36077.484,2216.7663000000002,5,1126.8680419921875
0.0,1.9485447,113.35465610000001,0,
5000.0,182.41217,189.512606,0,2721.661865234375
10000.0,421.8427,298.175375,0,4105.0546875
20000.0,1064.571,600.8299,0,4076.3671875
30000.0,1773.2887999999998,581.7619080000001,0,3311.988037109375
40000.0,2525.074,1051.5627259999999,0,2708.623779296875
50000.0,3304.9072,3349.02198,0,3496.285888671875
60000.0,4123.7783,3521.6476199999997,0,2383.247802734375
70000.0,4940.504,3020.72273,0,1422.120361328125
80000.0,5649.456,4815.56956,0,1761.581298828125
90000.0,6299.0923,5541.0087,0,775.5020141601562
100000.0,6874.429699999999,6421.48624,0,2063.73193359375
110000.0,7574.094999999999,2412.872281,0,870.1625366210938
120000.0,8298.258,6043.15997,0,584.5846557617188
130000.0,8941.096,7083.60125,0,1585.5953369140625
140000.0,9666.251,7896.56976,0,1392.72265625
150000.0,10431.523,7524.27226,0,1358.6207275390625
160000.0,11242.171,8184.00859,0,901.9248046875
170000.0,11957.867,8346.149099999999,0,922.4730834960938
180000.0,12673.408,3291.71453,0,1565.2025146484375
190000.0,13360.025,7936.88313,0,339.0135498046875
200000.0,14032.153,8264.418000000001,0,2887.020751953125
210000.0,14679.342,8398.1507,0,509.5317077636719
220000.0,15319.507000000001,8344.6066,0,104.9699249267578
230000.0,15918.519,4742.1698799999995,0,339.2847595214844
240000.0,16518.15,8743.32315,0,439.714111328125
