step,time,reward,seed,critic_loss,actor_grad_norm
0.0,3.1003244,0.0,7,,
5000.0,91.07833,0.0,7,0.0003811416972894,0.0072856163606047
10000.0,182.36923,0.0,7,0.0001101869420381,0.0039496207609772
20000.0,409.12698,0.0,7,9.304695595346855e-06,0.0027301190420985
30000.0,649.70685,0.0,7,5.044598765380215e-07,0.0002081815327983
40000.0,920.7142,0.0,7,2.8112978611716244e-08,4.8555473767919466e-05
50000.0,1148.2653,0.0,7,2.8462618928415395e-09,2.476882627888699e-06
60000.0,1389.4377,0.0,7,1.4140892901082223e-09,5.051640982856043e-06
70000.0,1597.1721,0.0,7,1.5619943116718103e-09,4.466965037863702e-06
80000.0,1862.9404,2.9,7,0.0142095675691962,0.0904465988278389
90000.0,2120.173,302.3,7,0.0237234123051166,0.1469249427318573
100000.0,2395.8591,384.1,7,0.7824980616569519,10.489459991455078
110000.0,2658.317,618.8,7,8.229048728942871,5.3453049659729
120000.0,2911.3625,836.9,7,11.548760414123535,7.115514278411865
130000.0,3137.8792,832.1,7,10.94311237335205,22.285289764404297
140000.0,3369.2725,836.7,7,5.037055015563965,7.622852325439453
150000.0,3609.3252,837.8,7,11.040305137634276,10.298903465270996
160000.0,3834.7095,838.3,7,4.09010648727417,2.7714667320251465
170000.0,4057.7966,830.7,7,3.775138139724731,3.400796413421631
180000.0,4276.073,842.0,7,3.9644601345062256,6.576456546783447
190000.0,4486.023,820.4,7,4.959035873413086,8.568571090698242
200000.0,4708.8955,820.9,7,2.397552490234375,3.1058309078216557
210000.0,4929.2363,843.6,7,3.012228012084961,9.836210250854492
220000.0,5151.83,845.3,7,4.338675022125244,3.9506874084472656
230000.0,5372.484,842.9,7,2.0571868419647217,4.578146457672119
240000.0,5593.8223,846.0,7,3.080513000488281,3.6744461059570312
250000.0,5810.669,845.7,7,1.540716528892517,3.678057193756104
260000.0,6028.9062,844.2,7,2.01464581489563,2.679797649383545
270000.0,6246.479,845.9,7,2.2977988719940186,2.0937752723693848
280000.0,6461.344,845.1,7,0.9566275477409364,4.552196025848389
290000.0,6663.8677,846.8,7,2.2433910369873047,6.326115131378174
300000.0,6886.8276,846.1,7,1.933297038078308,3.999059438705444
310000.0,7116.704,844.4,7,2.2830653190612797,1.8045456409454343
320000.0,7345.770999999999,846.9,7,2.851703405380249,2.794923782348633
330000.0,7560.106,846.6,7,2.025928258895874,1.8620221614837649
340000.0,7789.5693,846.3,7,1.948217272758484,4.44783878326416
350000.0,7993.623,847.0,7,1.8641399145126345,3.235937118530273
360000.0,8205.954,847.0,7,2.0386409759521484,1.7271312475204468
370000.0,8414.076,847.0,7,1.7611578702926636,2.4233622550964355
380000.0,8642.744,847.0,7,0.9170160293579102,2.355858325958252
390000.0,8874.914,846.0,7,1.7083100080490112,5.418331623077393
400000.0,9090.389,847.4,7,1.1171623468399048,2.0087270736694336
410000.0,9296.402,847.0,7,1.0326541662216189,2.382369041442871
420000.0,9502.961,847.6,7,2.331343412399292,0.9627814888954164
430000.0,9726.193,847.1,7,1.933547616004944,1.475127935409546
440000.0,9929.499,844.5,7,1.1207256317138672,1.9884012937545776
450000.0,10137.118,847.3,7,0.4981050491333008,1.8495794534683228
460000.0,10337.543,847.7,7,3.929185628890991,1.726341724395752
470000.0,10558.902,847.3,7,0.7680720686912537,1.838184475898743
480000.0,10783.891,847.7,7,0.7627031207084656,1.000499606132507
490000.0,10987.381,847.8,7,0.5260893106460571,1.1490676403045654
500000.0,11181.002,847.8,7,0.5501589775085449,1.2804241180419922
0.0,3.1003244,0.0,3,,
5000.0,91.07833,0.0,3,0.0005294107249937,0.0126908645033836
10000.0,182.36923,0.0,3,0.0001083349561668,0.0011112322099506
20000.0,409.12698,0.0,3,1.1497341802169103e-05,0.0016676327213644
30000.0,649.70685,0.0,3,4.935287734042504e-07,0.0001268525375053
40000.0,920.7142,0.0,3,3.3339471627868995e-08,1.9253373466199264e-05
50000.0,1148.2653,0.0,3,2.698534729006496e-09,3.28618916682899e-05
60000.0,1389.4377,0.0,3,1.7647273642396042e-09,4.439751137397252e-06
70000.0,1597.1721,0.0,3,1.310119457365033e-09,3.4140198295062878e-06
80000.0,1862.9404,0.0,3,1.3859433600771354e-09,5.246046384854708e-06
90000.0,2120.173,0.0,3,0.0187207255512475,0.0496062189340591
100000.0,2395.8591,277.8,3,1.0743299722671509,1.3978259563446045
110000.0,2658.317,826.1,3,3.9786744117736816,3.475095510482788
120000.0,2911.3625,642.1,3,9.220067024230955,3.3175768852233887
130000.0,3137.8792,837.9,3,14.647589683532717,5.234076976776123
140000.0,3369.2725,655.3,3,4.372136116027832,5.959119319915772
150000.0,3609.3252,841.2,3,5.495461940765381,3.4529407024383545
160000.0,3834.7095,839.0,3,5.003110885620117,7.353055000305176
170000.0,4057.7966,841.8,3,10.06635570526123,5.496613502502441
180000.0,4276.073,842.0,3,3.584975004196167,6.387030124664307
190000.0,4486.023,842.6,3,5.598285675048828,4.622115135192871
200000.0,4708.8955,843.8,3,3.194523334503174,3.2818398475646973
210000.0,4929.2363,844.3,3,3.651311635971069,6.051821231842041
220000.0,5151.83,841.0,3,3.7652626037597656,2.3696274757385254
230000.0,5372.484,845.5,3,2.2454116344451904,2.210134029388428
240000.0,5593.8223,846.3,3,1.787888526916504,2.192880392074585
250000.0,5810.669,846.4,3,1.517437219619751,2.078636407852173
260000.0,6028.9062,843.9,3,2.1729538440704346,7.976154327392578
270000.0,6246.479,846.7,3,1.707046389579773,4.451442718505859
280000.0,6461.344,833.0,3,1.8249648809432983,3.155370712280273
