step,time,reward,seed
0,144.3482825756073,0.0,0
50000,2519.431489944458,0.0,0
100000,4954.721617698669,0.0,0
150000,7364.143078327179,11.199999809265137,0
200000,9752.405580043793,15.899999618530273,0
250000,12130.440465927124,123.4000015258789,0
300000,14527.751063585281,123.4000015258789,0
350000,16914.018258094788,34.900001525878906,0
400000,19296.658433914185,222.1999969482422,0
450000,21659.569088220596,229.10000610351562,0
500000,24028.976319789886,216.5,0
0,144.3482825756073,0.0,7
50000,2519.431489944458,0.0,7
100000,4954.721617698669,0.0,7
150000,7364.143078327179,0.8999999761581421,7
200000,9752.405580043793,0.0,7
250000,12130.440465927124,4.0,7
300000,14527.751063585281,0.0,7
350000,16914.018258094788,0.0,7
400000,19296.658433914185,0.0,7
450000,21659.569088220596,0.0,7
500000,24028.976319789886,0.0,7
0,144.3482825756073,1.2000000476837158,6
50000,2519.431489944458,0.0,6
100000,4954.721617698669,0.0,6
150000,7364.143078327179,0.0,6
200000,9752.405580043793,0.0,6
250000,12130.440465927124,2.5999999046325684,6
300000,14527.751063585281,46.099998474121094,6
350000,16914.018258094788,69.69999694824219,6
400000,19296.658433914185,109.9000015258789,6
450000,21659.569088220596,166.89999389648438,6
500000,24028.976319789886,243.6999969482422,6
0,144.3482825756073,0.0,4
50000,2519.431489944458,0.0,4
100000,4954.721617698669,0.0,4
150000,7364.143078327179,0.0,4
200000,9752.405580043793,0.0,4
250000,12130.440465927124,1.5,4
300000,14527.751063585281,6.800000190734863,4
350000,16914.018258094788,3.200000047683716,4
400000,19296.658433914185,31.299999237060547,4
450000,21659.569088220596,123.19999694824219,4
500000,24028.976319789886,91.5999984741211,4
0,144.3482825756073,0.0,5
50000,2519.431489944458,0.0,5
100000,4954.721617698669,0.0,5
150000,7364.143078327179,4.5,5
200000,9752.405580043793,0.0,5
250000,12130.440465927124,0.0,5
300000,14527.751063585281,0.0,5
350000,16914.018258094788,0.0,5
400000,19296.658433914185,3.0,5
450000,21659.569088220596,10.300000190734863,5
500000,24028.976319789886,21.799999237060547,5
0,144.3482825756073,0.0,3
50000,2519.431489944458,0.0,3
100000,4954.721617698669,0.0,3
150000,7364.143078327179,0.0,3
200000,9752.405580043793,0.0,3
250000,12130.440465927124,0.0,3
300000,14527.751063585281,0.0,3
350000,16914.018258094788,2.5999999046325684,3
400000,19296.658433914185,0.0,3
450000,21659.569088220596,0.0,3
500000,24028.976319789886,2.0,3
0,144.3482825756073,0.0,2
50000,2519.431489944458,2.9000000953674316,2
100000,4954.721617698669,0.0,2
150000,7364.143078327179,16.899999618530273,2
200000,9752.405580043793,119.9000015258789,2
250000,12130.440465927124,146.0,2
300000,14527.751063585281,144.89999389648438,2
350000,16914.018258094788,277.20001220703125,2
400000,19296.658433914185,222.6999969482422,2
450000,21659.569088220596,322.29998779296875,2
500000,24028.976319789886,326.0,2
0,144.3482825756073,0.0,1
50000,2519.431489944458,0.0,1
100000,4954.721617698669,3.5999999046325684,1
150000,7364.143078327179,11.100000381469727,1
200000,9752.405580043793,54.79999923706055,1
250000,12130.440465927124,82.0,1
300000,14527.751063585281,137.60000610351562,1
350000,16914.018258094788,133.60000610351562,1
400000,19296.658433914185,204.39999389648438,1
450000,21659.569088220596,203.1999969482422,1
500000,24028.976319789886,179.1999969482422,1
