step,time,reward,seed,critic_loss,actor_grad_norm
0.0,2.8028352,-264.50264649999997,2,,
5000.0,156.35709,1607.43128,2,6.112217903137207,1.9934699535369875
10000.0,367.4082,5023.89738,2,24.50832748413086,9.885080337524414
20000.0,1016.8938599999999,8236.91486,2,123.74663543701172,18.256322860717773
30000.0,1683.6091000000001,3395.5151100000003,2,191.80990600585935,38.386531829833984
40000.0,2292.9841,3412.45593,2,323.1800842285156,31.30535888671875
50000.0,2967.8164,8522.60728,2,295.6049194335937,35.009178161621094
60000.0,3665.7157999999995,9278.62274,2,332.3909606933594,62.95928955078125
70000.0,4227.554,7856.21781,2,654.22607421875,60.108211517333984
80000.0,4785.374,10128.73856,2,413.24658203125,56.82716751098633
90000.0,5232.2617,11417.9776,2,599.4319458007812,48.82512664794922
100000.0,5778.3525,10883.1364,2,324.65185546875,48.52365493774414
110000.0,6345.333,10663.475999999999,2,494.4497985839844,64.85811614990234
120000.0,6872.377,11479.6368,2,758.4334716796875,86.87667083740234
130000.0,7442.291500000001,12029.6424,2,379.2731628417969,54.65307235717773
140000.0,7842.405000000001,10565.54546,2,331.2731018066406,53.049442291259766
150000.0,8283.685,11722.7996,2,421.3645935058594,53.54989242553711
160000.0,8715.261,12032.2833,2,292.8905334472656,68.67733764648438
170000.0,9149.198,11752.56595,2,341.57452392578125,34.01353073120117
180000.0,9546.518,11757.878200000001,2,384.9985046386719,42.5202751159668
190000.0,9943.907,12392.3454,2,318.6861267089844,65.98140716552734
200000.0,10344.622,12134.6767,2,344.86505126953125,64.14784240722656
210000.0,10735.286,11833.316499999999,2,417.6849060058594,52.75362014770508
220000.0,11126.698,11408.464199999999,2,429.5324401855469,73.69564819335938
230000.0,11486.094,12580.2454,2,297.93359375,49.70991134643555
240000.0,11837.318,11949.8373,2,446.12213134765625,102.22305297851562
250000.0,12215.703,11208.283019999999,2,391.327392578125,91.29527282714844
260000.0,12562.204,12070.8452,2,331.4562072753906,50.990848541259766
270000.0,12947.988,12411.2488,2,315.4125061035156,67.01705169677734
280000.0,13276.51,11876.1641,2,244.47769165039065,73.10299682617188
290000.0,13676.160999999998,12837.9723,2,305.1092224121094,44.07348251342773
300000.0,14005.855,12387.54035,2,265.9186096191406,60.94269180297852
310000.0,14392.803,12333.97165,2,261.8498229980469,43.071815490722656
320000.0,14732.602000000003,12566.4701,2,306.0865173339844,71.50849151611328
330000.0,15080.333999999999,12356.603500000001,2,293.9690246582031,79.33411407470703
340000.0,15455.654,12858.63845,2,374.1174926757813,82.5367660522461
350000.0,15789.844000000001,12275.4403,2,239.6487579345703,134.1133270263672
360000.0,16126.653,12947.3949,2,311.2437438964844,103.99137115478516
370000.0,16461.99,12875.7889,2,370.4114379882813,57.72450256347656
380000.0,16824.666,12672.820600000001,2,167.3649444580078,75.68268585205078
390000.0,17157.389,12928.9326,2,257.939208984375,50.10603332519531
400000.0,17488.422,12541.0806,2,215.5144500732422,32.40717697143555
410000.0,17854.916,12444.5084,2,292.7423095703125,40.832401275634766
420000.0,18192.855,11728.183500000001,2,296.469482421875,57.88993835449219
430000.0,18551.57,12999.6051,2,243.814697265625,45.157623291015625
440000.0,18893.324,13003.331600000001,2,325.27642822265625,28.70969009399414
450000.0,19272.723,12835.5942,2,324.9264221191406,142.48756408691406
460000.0,19612.576,13128.234400000001,2,269.7293395996094,42.87094879150391
470000.0,19951.867,12555.3838,2,222.83287048339844,70.01275634765625
480000.0,20293.982,13002.2181,2,475.7785339355469,66.78556060791016
490000.0,20678.041,13047.9394,2,306.783935546875,49.16266250610352
500000.0,21017.273,12977.9315,2,156.37120056152344,34.464603424072266
0.0,2.8028352,-312.43829700000003,7,,
5000.0,156.35709,1266.24115,7,1.3109855651855469,1.2371704578399658
10000.0,367.4082,4264.425209999999,7,15.975192070007324,5.534590244293213
20000.0,1016.8938599999999,5258.00344,7,26.3843994140625,8.467373847961426
30000.0,1683.6091000000001,6191.48439,7,35.00554656982422,33.20566940307617
40000.0,2292.9841,7220.994199999999,7,29.96785926818848,17.146724700927734
50000.0,2967.8164,7510.00276,7,44.092872619628906,25.92218399047852
60000.0,3665.7157999999995,7598.39074,7,26.062841415405277,33.637413024902344
70000.0,4227.554,7829.21032,7,26.366626739501957,18.93371963500977
80000.0,4785.374,7804.21592,7,23.551145553588867,17.58598518371582
90000.0,5232.2617,7952.91605,7,18.978172302246094,12.202577590942385
100000.0,5778.3525,7835.114479999999,7,21.86585998535156,22.11236953735352
110000.0,6345.333,7995.24495,7,20.75884056091309,22.14820671081543
120000.0,6872.377,8288.5627,7,35.906620025634766,19.314245223999023
130000.0,7442.291500000001,8213.64626,7,25.274682998657227,18.073331832885746
140000.0,7842.405000000001,8078.09589,7,21.21307945251465,13.98024082183838
150000.0,8283.685,8046.20313,7,35.44415283203125,14.736089706420898
160000.0,8715.261,8476.3608,7,19.48690414428711,43.663822174072266
170000.0,9149.198,8166.375140000001,7,13.141949653625488,15.887300491333008
180000.0,9546.518,8278.56777,7,17.665164947509766,18.714773178100582
190000.0,9943.907,8287.788,7,16.8579158782959,13.037155151367188
200000.0,10344.622,8263.9493,7,23.99188041687012,17.262676239013672
